1.5	0
1.499259841	0.04711613862
1.497040093	0.09418577929
1.493342947	0.14116247
1.488172052	0.1879998503
1.481532511	0.2346516976
1.473430876	0.2810719719
1.463875143	0.3272148621
1.452874742	0.3730348307
1.440440529	0.4184866591
1.426584774	0.4635254916
1.411321153	0.5081068804
1.394664729	0.552186829
1.376631939	0.595721836
1.357240579	0.6386689373
1.336509786	0.6809857496
1.31446002	0.7226305112
1.291113041	0.7635621236
1.266491888	0.8037401925
1.240620861	0.8431250668
1.213525492	0.8816778784
1.185232519	0.9193605805
1.155769864	0.9561359846
1.125166604	0.991967798
1.093452941	1.026820659
1.060660172	1.060660172
1.026820659	1.093452941
0.991967798	1.125166604
0.9561359846	1.155769864
0.9193605805	1.185232519
0.8816778784	1.213525492
0.8431250668	1.240620861
0.8037401925	1.266491888
0.7635621236	1.291113041
0.7226305112	1.31446002
0.6809857496	1.336509786
0.6386689373	1.357240579
0.595721836	1.376631939
0.552186829	1.394664729
0.5081068804	1.411321153
0.4635254916	1.426584774
0.4184866591	1.440440529
0.3730348307	1.452874742
0.3272148621	1.463875143
0.2810719719	1.473430876
0.2346516976	1.481532511
0.1879998503	1.488172052
0.14116247	1.493342947
0.09418577929	1.497040093
0.04711613862	1.499259841
-2.41E-16	1.5
-0.04711613862	1.499259841
-0.09418577929	1.497040093
-0.14116247	1.493342947
-0.1879998503	1.488172052
-0.2346516976	1.481532511
-0.2810719719	1.473430876
-0.3272148621	1.463875143
-0.3730348307	1.452874742
-0.4184866591	1.440440529
-0.4635254916	1.426584774
-0.5081068804	1.411321153
-0.552186829	1.394664729
-0.595721836	1.376631939
-0.6386689373	1.357240579
-0.6809857496	1.336509786
-0.7226305112	1.31446002
-0.7635621236	1.291113041
-0.8037401925	1.266491888
-0.8431250668	1.240620861
-0.8816778784	1.213525492
-0.9193605805	1.185232519
-0.9561359846	1.155769864
-0.991967798	1.125166604
-1.026820659	1.093452941
-1.060660172	1.060660172
-1.093452941	1.026820659
-1.125166604	0.991967798
-1.155769864	0.9561359846
-1.185232519	0.9193605805
-1.213525492	0.8816778784
-1.240620861	0.8431250668
-1.266491888	0.8037401925
-1.291113041	0.7635621236
-1.31446002	0.7226305112
-1.336509786	0.6809857496
-1.357240579	0.6386689373
-1.376631939	0.595721836
-1.394664729	0.552186829
-1.411321153	0.5081068804
-1.426584774	0.4635254916
-1.440440529	0.4184866591
-1.452874742	0.3730348307
-1.463875143	0.3272148621
-1.473430876	0.2810719719
-1.481532511	0.2346516976
-1.488172052	0.1879998503
-1.493342947	0.14116247
-1.497040093	0.09418577929
-1.499259841	0.04711613862
-1.5	-4.82E-16
-1.499259841	-0.04711613862
-1.497040093	-0.09418577929
-1.493342947	-0.14116247
-1.488172052	-0.1879998503
-1.481532511	-0.2346516976
-1.473430876	-0.2810719719
-1.463875143	-0.3272148621
-1.452874742	-0.3730348307
-1.440440529	-0.4184866591
-1.426584774	-0.4635254916
-1.411321153	-0.5081068804
-1.394664729	-0.552186829
-1.376631939	-0.595721836
-1.357240579	-0.6386689373
-1.336509786	-0.6809857496
-1.31446002	-0.7226305112
-1.291113041	-0.7635621236
-1.266491888	-0.8037401925
-1.240620861	-0.8431250668
-1.213525492	-0.8816778784
-1.185232519	-0.9193605805
-1.155769864	-0.9561359846
-1.125166604	-0.991967798
-1.093452941	-1.026820659
-1.060660172	-1.060660172
-1.026820659	-1.093452941
-0.991967798	-1.125166604
-0.9561359846	-1.155769864
-0.9193605805	-1.185232519
-0.8816778784	-1.213525492
-0.8431250668	-1.240620861
-0.8037401925	-1.266491888
-0.7635621236	-1.291113041
-0.7226305112	-1.31446002
-0.6809857496	-1.336509786
-0.6386689373	-1.357240579
-0.595721836	-1.376631939
-0.552186829	-1.394664729
-0.5081068804	-1.411321153
-0.4635254916	-1.426584774
-0.4184866591	-1.440440529
-0.3730348307	-1.452874742
-0.3272148621	-1.463875143
-0.2810719719	-1.473430876
-0.2346516976	-1.481532511
-0.1879998503	-1.488172052
-0.14116247	-1.493342947
-0.09418577929	-1.497040093
-0.04711613862	-1.499259841
-2.76E-16	-1.5
0.04711613862	-1.499259841
0.09418577929	-1.497040093
0.14116247	-1.493342947
0.1879998503	-1.488172052
0.2346516976	-1.481532511
0.2810719719	-1.473430876
0.3272148621	-1.463875143
0.3730348307	-1.452874742
0.4184866591	-1.440440529
0.4635254916	-1.426584774
0.5081068804	-1.411321153
0.552186829	-1.394664729
0.595721836	-1.376631939
0.6386689373	-1.357240579
0.6809857496	-1.336509786
0.7226305112	-1.31446002
0.7635621236	-1.291113041
0.8037401925	-1.266491888
0.8431250668	-1.240620861
0.8816778784	-1.213525492
0.9193605805	-1.185232519
0.9561359846	-1.155769864
0.991967798	-1.125166604
1.026820659	-1.093452941
1.060660172	-1.060660172
1.093452941	-1.026820659
1.125166604	-0.991967798
1.155769864	-0.9561359846
1.185232519	-0.9193605805
1.213525492	-0.8816778784
1.240620861	-0.8431250668
1.266491888	-0.8037401925
1.291113041	-0.7635621236
1.31446002	-0.7226305112
1.336509786	-0.6809857496
1.357240579	-0.6386689373
1.376631939	-0.595721836
1.394664729	-0.552186829
1.411321153	-0.5081068804
1.426584774	-0.4635254916
1.440440529	-0.4184866591
1.452874742	-0.3730348307
1.463875143	-0.3272148621
1.473430876	-0.2810719719
1.481532511	-0.2346516976
1.488172052	-0.1879998503
1.493342947	-0.14116247
1.497040093	-0.09418577929
1.499259841	-0.04711613862
