1.0000000000 0.0000000000
0.9403918629 0.3420191650
0.7657418030 0.6427811849
0.5000884846 0.8660109917
0.1736151400 0.9847844373
-0.1736151400 0.9847844373
-0.5000884846 0.8660109917
-0.7657418030 0.6427811849
-0.9403918629 0.3420191650
-1.0000000000 -0.0000000000
-0.9922946460 -0.0804633267
-0.9825442787 -0.1604082581
-0.9687038848 -0.2393163992
-0.9487289263 -0.3166693630
-0.9212058878 -0.3919599829
-0.8865963364 -0.4647144329
-0.8457085294 -0.5344650512
-0.7993499380 -0.6007443048
-0.7481613670 -0.6631119581
-0.6924117422 -0.7211886832
-0.6323196681 -0.7746033940
-0.5681050507 -0.8229856014
-0.5000884846 -0.8660109917
-0.4287612273 -0.9034335171
-0.3546310665 -0.9350147103
-0.2782058174 -0.9605177770
-0.1999943661 -0.9797709477
-0.1205069897 -0.9926869192
-0.0402540582 -0.9991840330
0.0402540582 -0.9991840330
0.1205069897 -0.9926869192
0.1999943661 -0.9797709477
0.2782058174 -0.9605177770
0.3546310665 -0.9350147103
0.4287612273 -0.9034335171
0.5000884846 -0.8660109917
0.5681050507 -0.8229856014
0.6323196681 -0.7746033940
0.6924117422 -0.7211886832
0.7481613670 -0.6631119581
0.7993499380 -0.6007443048
0.8457085294 -0.5344650512
0.8865963364 -0.4647144329
0.9212058878 -0.3919599829
0.9487289263 -0.3166693630
0.9687038848 -0.2393163992
0.9825442787 -0.1604082581
0.9922946460 -0.0804633267
1.0000000000 0.0000000000
