1.0000000000 0.0000000000
0.9798410663 0.1272887965
0.9596821325 0.2545775930
0.9240364710 0.3620568149
0.8768166635 0.4547311722
0.8295968561 0.5474055296
0.7675222763 0.6292877237
0.6939750743 0.7028349257
0.6204278723 0.7763821277
0.5362415286 0.8352851823
0.4435671712 0.8825049898
0.3508928139 0.9297247972
0.2527050722 0.9599786867
0.1499729625 0.9762485380
0.0472408527 0.9925183893
-0.0554912570 0.9912117594
-0.1582233668 0.9749419081
-0.2609554765 0.9586720568
-0.3583354812 0.9259325797
-0.4510098386 0.8787127723
-0.5436841960 0.8314929648
-0.6263344399 0.7704755601
-0.6998816419 0.6969283581
-0.7734288439 0.6233811561
-0.8333890736 0.5399628623
-0.8806088810 0.4472885049
-0.9278286885 0.3546141475
-0.9593253717 0.2568302744
-0.9755952230 0.1540981646
-0.9918650743 0.0513660549
-0.9918650743 -0.0513660549
-0.9755952230 -0.1540981646
-0.9593253717 -0.2568302744
-0.9278286885 -0.3546141475
-0.8806088810 -0.4472885049
-0.8333890736 -0.5399628623
-0.7734288439 -0.6233811561
-0.6998816419 -0.6969283581
-0.6263344399 -0.7704755601
-0.5436841960 -0.8314929648
-0.4510098386 -0.8787127723
-0.3583354812 -0.9259325797
-0.2609554765 -0.9586720568
-0.1582233668 -0.9749419081
-0.0554912570 -0.9912117594
0.0472408527 -0.9925183893
0.1499729625 -0.9762485380
0.2527050722 -0.9599786867
0.3508928139 -0.9297247972
0.4435671712 -0.8825049898
0.5362415286 -0.8352851823
0.6204278723 -0.7763821277
0.6939750743 -0.7028349257
0.7675222763 -0.6292877237
0.8295968561 -0.5474055296
0.8768166635 -0.4547311722
0.9240364710 -0.3620568149
0.9596821325 -0.2545775930
0.9798410663 -0.1272887965
1.0000000000 0.0000000000
