1.0000000000 0.0000000000
0.9800245689 0.1261301127
0.9600491378 0.2522602253
0.9191740916 0.3715997993
0.8611986898 0.4853832600
0.7999913886 0.5968186114
0.7096923765 0.6871176235
0.6193933644 0.7774166356
0.5138291252 0.8467048393
0.4000456645 0.9046802411
0.2837927535 0.9550552801
0.1576626408 0.9750307111
0.0315325282 0.9950061422
-0.0945975845 0.9850184267
-0.2207276972 0.9650429956
-0.3431539341 0.9336679421
-0.4569373949 0.8756925402
-0.5707208556 0.8177171384
-0.6645428705 0.7322671295
-0.7548418826 0.6419681174
-0.8322109888 0.5422749904
-0.8901863907 0.4284915297
-0.9481617925 0.3147080689
-0.9700368534 0.1891951690
-0.9900122845 0.0630650563
-0.9900122845 -0.0630650563
-0.9700368534 -0.1891951690
-0.9481617925 -0.3147080689
-0.8901863907 -0.4284915297
-0.8322109888 -0.5422749904
-0.7548418826 -0.6419681174
-0.6645428705 -0.7322671295
-0.5707208556 -0.8177171384
-0.4569373949 -0.8756925402
-0.3431539341 -0.9336679421
-0.2207276972 -0.9650429956
-0.0945975845 -0.9850184267
0.0315325282 -0.9950061422
0.1576626408 -0.9750307111
0.2837927535 -0.9550552801
0.4000456645 -0.9046802411
0.5138291252 -0.8467048393
0.6193933644 -0.7774166356
0.7096923765 -0.6871176235
0.7999913886 -0.5968186114
0.8611986898 -0.4853832600
0.9191740916 -0.3715997993
0.9600491378 -0.2522602253
0.9800245689 -0.1261301127
1.0000000000 -0.0000000000
