+1.8065093340e-02 +6.5603451390e-03
+1.8161995980e-02 +6.3760594340e-03
+1.8258420960e-02 +6.1912558680e-03
+1.8355099960e-02 +6.0065795170e-03
+1.8451414230e-02 +5.8216942470e-03
+1.8548093040e-02 +5.6370133280e-03
+1.8644553120e-02 +5.4522158290e-03
+1.8741220550e-02 +5.2675683900e-03
+1.8837748900e-02 +5.0830166770e-03
+1.8698698650e-02 +4.9392822910e-03
+1.8554831950e-02 +4.7927188790e-03
+1.8404438260e-02 +4.6399993710e-03
+1.8246900110e-02 +4.4816191810e-03
+1.8082238770e-02 +4.3174482040e-03
+1.7910193750e-02 +4.1476374460e-03
+1.7730608060e-02 +3.9722423390e-03
+1.7543365240e-02 +3.7912791050e-03
+1.7348467580e-02 +3.6046449130e-03
+1.7145672470e-02 +3.4124973180e-03
+1.6934680580e-02 +3.2150597320e-03
+1.6715339550e-02 +3.0124091020e-03
+1.6487514930e-02 +2.8046115060e-03
+1.6251111520e-02 +2.5916941490e-03
+1.6006516490e-02 +2.3731429450e-03
+1.5754434100e-02 +2.1480863590e-03
+1.5495000510e-02 +1.9162875420e-03
+1.5228075160e-02 +1.6778208020e-03
+1.4953880350e-02 +1.4323619310e-03
+1.4672760280e-02 +1.1794561170e-03
+1.4384363550e-02 +9.1942645880e-04
+1.4088057180e-02 +6.5291392630e-04
+1.3784130170e-02 +3.7954093910e-04
+1.3473318200e-02 +9.8439283940e-05
+1.3155539450e-02 -1.9034809190e-04
+1.2830279400e-02 -4.8629330940e-04
+1.2497521720e-02 -7.8941379250e-04
+1.2157510820e-02 -1.1000100100e-03
+1.1810231680e-02 -1.4180910240e-03
+1.1455552650e-02 -1.7435316270e-03
+1.1093485990e-02 -2.0763594610e-03
+1.0724147850e-02 -2.4167090150e-03
+1.0347831040e-02 -2.7648973580e-03
+9.9646706480e-03 -3.1210650260e-03
+9.5742648880e-03 -3.4847687920e-03
+9.1765675270e-03 -3.8559404380e-03
+8.7720131160e-03 -4.2350218890e-03
+8.3602957580e-03 -4.6216597280e-03
+7.9412809280e-03 -5.0156727260e-03
+7.5161786230e-03 -5.4182982840e-03
+7.0845569520e-03 -5.8290334010e-03
+6.6456967210e-03 -6.2470595280e-03
+6.2008597310e-03 -6.6736363380e-03
+5.7487475010e-03 -7.1073437180e-03
+5.2902060500e-03 -7.5489782940e-03
+4.8263695650e-03 -7.9996386080e-03
+4.3551483570e-03 -8.4570720890e-03
+3.8782709880e-03 -8.9229626120e-03
+3.3959023770e-03 -9.3973709330e-03
+2.9064221080e-03 -9.8785366780e-03
+2.4121241940e-03 -1.0368674540e-02
+1.9119541700e-03 -1.0866587870e-02
+1.4062422750e-03 -1.1372482310e-02
+8.9470558910e-04 -1.1885936930e-02
+3.7872488160e-04 -1.2408180950e-02
-1.4342539510e-04 -1.2937357380e-02
-6.6895824810e-04 -1.3476045700e-02
-1.2007441120e-03 -1.4021278920e-02
-1.7367426310e-03 -1.4574870660e-02
-2.2771376540e-03 -1.5136474000e-02
-2.8212610250e-03 -1.5706532180e-02
-3.3690491920e-03 -1.6284925940e-02
-3.9228873410e-03 -1.6869197380e-02
-4.4794667420e-03 -1.7462264560e-02
-5.0382203160e-03 -1.8064462830e-02
-5.6035053100e-03 -1.8671516590e-02
-6.1698786270e-03 -1.9288257160e-02
-6.7384169970e-03 -1.9913453360e-02
-7.3127024540e-03 -2.0543617820e-02
-7.8870706240e-03 -2.1183653550e-02
-8.4640637550e-03 -2.1831029080e-02
-9.0452590980e-03 -2.2484100190e-02
-9.6257184660e-03 -2.3146991540e-02
-1.0209143090e-02 -2.3816193670e-02
-1.0795496900e-02 -2.4491488740e-02
-1.1380283430e-02 -2.5176506850e-02
-1.1969019790e-02 -2.5866250400e-02
-1.2556760950e-02 -2.6564647770e-02
-1.3145115460e-02 -2.7270085070e-02
-1.3736357170e-02 -2.7980389630e-02
-1.4324016960e-02 -2.8700632440e-02
-1.4913740890e-02 -2.9425897870e-02
-1.5503934360e-02 -3.0157191290e-02
-1.6091286200e-02 -3.0896925000e-02
-1.6680812990e-02 -3.1640792450e-02
-1.7266281400e-02 -3.2393412480e-02
-1.7852053930e-02 -3.3151093950e-02
-1.8438221210e-02 -3.3913471050e-02
-1.9018415770e-02 -3.4685133670e-02
-1.9601053140e-02 -3.5459399700e-02
-2.0177454650e-02 -3.6242462280e-02
-2.0753881140e-02 -3.7029391740e-02
-2.1329130360e-02 -3.7820774540e-02
-2.1897242260e-02 -3.8620626470e-02
-2.2466908250e-02 -3.9422421290e-02
-2.3028982580e-02 -4.0232317480e-02
-2.3591090880e-02 -4.1044698320e-02
-2.4148389000e-02 -4.1862589690e-02
-2.4699719980e-02 -4.2686505750e-02
-2.5252306220e-02 -4.3511282480e-02
-2.5793473000e-02 -4.4345025530e-02
-2.6334523680e-02 -4.5180027370e-02
-2.6871841110e-02 -4.6018350100e-02
-2.7402644350e-02 -4.6861490710e-02
